FID_171204,CVE_EDO,NOM_EDO,CVE_MUN,NOM_MUN,SUP_MUN,SUP_MUN_ZE,REGION,AP
"5677","20",Oaxaca,"20492",Santiago Tilantongo,24801.39000000000,1658.89726669000,CENTRO-SUR,3B
"5678","20",Oaxaca,"20492",Santiago Tilantongo,24801.39000000000,3934.80222761000,CENTRO-SUR,"6"
"5680","20",Oaxaca,"20494",Santiago Tlazoyaltepec,6320.36000000000,274.94817859600,CENTRO-SUR,3A
"5681","20",Oaxaca,"20494",Santiago Tlazoyaltepec,6320.36000000000,2.02929837125,CENTRO-SUR,3B
"5682","20",Oaxaca,"20494",Santiago Tlazoyaltepec,6320.36000000000,46.85487185700,CENTRO-SUR,"6"
"5683","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,1961.57738937000,CENTRO-SUR,"1"
"5684","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,5573.61101354000,CENTRO-SUR,"2"
"5685","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,12.50000000060,CENTRO-SUR,3A
"5686","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,257.68537212600,CENTRO-SUR,3B
"5687","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,2546.98488912000,CENTRO-SUR,4B
"5688","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,625.23933273200,CENTRO-SUR,"5"
"5689","20",Oaxaca,"20495",Santiago Xanica,13798.45000000000,2820.85065443000,CENTRO-SUR,"6"
"5695","20",Oaxaca,"20497",Santiago Yaitepec,4116.48000000000,3.28536760444,CENTRO-SUR,"1"
"5696","20",Oaxaca,"20497",Santiago Yaitepec,4116.48000000000,1767.13218514000,CENTRO-SUR,"2"
"5697","20",Oaxaca,"20497",Santiago Yaitepec,4116.48000000000,89.91523196950,CENTRO-SUR,3A
"5698","20",Oaxaca,"20497",Santiago Yaitepec,4116.48000000000,1811.45252071000,CENTRO-SUR,3B
"5699","20",Oaxaca,"20497",Santiago Yaitepec,4116.48000000000,63.07228883980,CENTRO-SUR,"6"
"5726","20",Oaxaca,"20504",Nuevo ZoquiÃ¡pam,10073.95000000000,316.12896975400,CENTRO-SUR,3A
"5727","20",Oaxaca,"20504",Nuevo ZoquiÃ¡pam,10073.95000000000,748.88683103900,CENTRO-SUR,3B
"5732","20",Oaxaca,"20506",Santo Domingo Albarradas,4364.85000000000,1151.13758784000,CENTRO-SUR,3A
"5733","20",Oaxaca,"20506",Santo Domingo Albarradas,4364.85000000000,1.26501312036,CENTRO-SUR,3B
"5734","20",Oaxaca,"20506",Santo Domingo Albarradas,4364.85000000000,327.95295924000,CENTRO-SUR,"5"
"5735","20",Oaxaca,"20506",Santo Domingo Albarradas,4364.85000000000,19.00112267440,CENTRO-SUR,"6"
"5742","20",Oaxaca,"20509",Santo Domingo de Morelos,10604.18000000000,885.77552325500,CENTRO-SUR,3A
"5743","20",Oaxaca,"20509",Santo Domingo de Morelos,10604.18000000000,73.88313923460,CENTRO-SUR,3B
"5744","20",Oaxaca,"20509",Santo Domingo de Morelos,10604.18000000000,183.24449981700,CENTRO-SUR,4B
"5745","20",Oaxaca,"20509",Santo Domingo de Morelos,10604.18000000000,876.46295733300,CENTRO-SUR,"5"
"5746","20",Oaxaca,"20509",Santo Domingo de Morelos,10604.18000000000,1343.54144470000,CENTRO-SUR,"6"
"5750","20",Oaxaca,"20511",Santo Domingo NuxaÃ¡,14646.82000000000,49.40418760560,CENTRO-SUR,3A
"5751","20",Oaxaca,"20511",Santo Domingo NuxaÃ¡,14646.82000000000,1400.41133928000,CENTRO-SUR,3B
"5754","20",Oaxaca,"20512",Santo Domingo Ozolotepec,6449.47000000000,1867.63865850000,CENTRO-SUR,3A
"5755","20",Oaxaca,"20512",Santo Domingo Ozolotepec,6449.47000000000,2703.14283840000,CENTRO-SUR,3B
"5756","20",Oaxaca,"20512",Santo Domingo Ozolotepec,6449.47000000000,250.25296574700,CENTRO-SUR,"6"
"5778","20",Oaxaca,"20516",Santo Domingo Teojomulco,22530.31000000000,2872.77704077000,CENTRO-SUR,3A
"5779","20",Oaxaca,"20516",Santo Domingo Teojomulco,22530.31000000000,1310.61719201000,CENTRO-SUR,3B
"5780","20",Oaxaca,"20516",Santo Domingo Teojomulco,22530.31000000000,3201.80206799000,CENTRO-SUR,"6"
"5788","20",Oaxaca,"20519",Santo Domingo Tomaltepec,3059.14000000000,1611.17802420000,CENTRO-SUR,3A
